race,gender,rank,feature_idx,freq,mag,disparity
black,man,0,2182,217.9199981689453,3988.16552734375,-19.559982299804688
black,man,1,527,146.16000366210938,3065.5439453125,123.38545989990234
black,man,2,2670,127.0199966430664,2273.57763671875,-0.60546875
black,man,3,4544,92.4000015258789,1771.97900390625,9.401824951171875
black,man,4,3894,83.08000183105469,1550.2393798828125,48.69636917114258
black,man,5,2707,106.69999694824219,1429.728271484375,58.3799934387207
black,man,6,4858,82.5,1354.4195556640625,-1.9054489135742188
black,man,7,5046,59.560001373291016,1257.9122314453125,3.6545486450195312
black,man,8,1664,53.040000915527344,1154.884521484375,28.247276306152344
black,man,9,2808,68.62000274658203,1065.0316162109375,5.154548645019531
white,man,0,2182,252.94000244140625,5358.51318359375,18.643661499023438
white,man,1,2670,154.55999755859375,2912.0693359375,29.43817138671875
white,man,2,2707,148.77999877929688,2057.05224609375,104.28544616699219
white,man,3,4544,103.91999816894531,2048.423828125,21.969093322753906
white,man,4,2808,107.83999633789062,1866.8822021484375,47.93999481201172
white,man,5,1653,101.63999938964844,1841.34375,66.05455017089844
white,man,6,3894,82.87999725341797,1631.458251953125,48.478179931640625
white,man,7,2893,86.72000122070312,1543.7852783203125,36.95273208618164
white,man,8,4858,83.45999908447266,1389.9263916015625,-0.8581695556640625
white,man,9,5046,59.220001220703125,1216.753662109375,3.2836456298828125
east asian,man,0,2182,251.8800048828125,5194.927734375,17.487289428710938
east asian,man,1,2670,143.16000366210938,2650.250732421875,17.001808166503906
east asian,man,2,4544,105.33999633789062,1956.6529541015625,23.5181884765625
east asian,man,3,1653,81.41999816894531,1449.33984375,43.99635696411133
east asian,man,4,4858,82.16000366210938,1386.3531494140625,-2.2763519287109375
east asian,man,5,2808,83.86000061035156,1385.46142578125,21.779998779296875
east asian,man,6,5046,65.69999694824219,1375.3612060546875,10.352729797363281
east asian,man,7,2707,101.81999969482422,1229.92431640625,53.05636215209961
east asian,man,8,2893,69.37999725341797,1181.71044921875,18.036365509033203
east asian,man,9,2055,53.0,1123.0025634765625,26.06727409362793
middle eastern,man,0,2182,216.33999633789062,3794.3251953125,-21.283599853515625
middle eastern,man,1,4858,109.41999816894531,1882.2275390625,27.461822509765625
middle eastern,man,2,2670,114.27999877929688,1852.7894287109375,-14.503646850585938
middle eastern,man,3,2893,90.5999984741211,1595.1295166015625,41.18545150756836
middle eastern,man,4,4544,75.04000091552734,1336.4833984375,-9.536361694335938
middle eastern,man,5,1653,80.91999816894531,1249.7694091796875,43.450904846191406
middle eastern,man,6,5046,59.2599983215332,1242.6610107421875,3.3272743225097656
middle eastern,man,7,452,61.86000061035156,1236.66748046875,53.65272903442383
middle eastern,man,8,1664,50.34000015258789,1101.9920654296875,25.301820755004883
middle eastern,man,9,669,44.70000076293945,1032.5972900390625,36.96908950805664
indian,man,0,2182,228.0,4068.125244140625,-8.563613891601562
indian,man,1,2670,135.0,2365.64599609375,8.099983215332031
indian,man,2,4544,95.54000091552734,1747.16015625,12.827278137207031
indian,man,3,4858,95.4000015258789,1646.4161376953125,12.167282104492188
indian,man,4,5046,66.4800033569336,1457.1217041015625,11.20363998413086
indian,man,5,1653,85.30000305175781,1431.549072265625,48.22909164428711
indian,man,6,2893,74.0199966430664,1262.002197265625,23.098182678222656
indian,man,7,1664,51.41999816894531,1196.4766845703125,26.48000144958496
indian,man,8,3894,65.30000305175781,1175.3662109375,29.300003051757812
indian,man,9,2055,51.13999938964844,1083.01806640625,24.03818130493164
hispanic,man,0,2182,228.1999969482422,4067.525634765625,-8.345428466796875
hispanic,man,1,2670,146.94000244140625,2819.716552734375,21.12543487548828
hispanic,man,2,4544,107.31999969482422,2185.352294921875,25.678184509277344
hispanic,man,3,1653,83.87999725341797,1467.134033203125,46.679996490478516
hispanic,man,4,4858,85.4000015258789,1453.5028076171875,1.2581939697265625
hispanic,man,5,3894,73.87999725341797,1420.8525390625,38.65999984741211
hispanic,man,6,5046,65.9800033569336,1377.835205078125,10.658187866210938
hispanic,man,7,2893,78.16000366210938,1323.6982421875,27.614547729492188
hispanic,man,8,2808,80.87999725341797,1317.7763671875,18.529090881347656
hispanic,man,9,1678,84.80000305175781,1293.1505126953125,41.154544830322266
black,woman,0,2182,220.44000244140625,3903.114013671875,-16.810882568359375
black,woman,1,527,169.05999755859375,3774.858154296875,148.36727905273438
black,woman,2,2670,117.08000183105469,1983.0552978515625,-11.449111938476562
black,woman,3,3764,77.63999938964844,1738.4024658203125,34.49272537231445
black,woman,4,3279,78.27999877929688,1639.8773193359375,71.65272521972656
black,woman,5,1584,84.91999816894531,1630.2041015625,25.383636474609375
black,woman,6,2611,69.72000122070312,1406.9317626953125,31.10727310180664
black,woman,7,4957,68.19999694824219,1182.920166015625,31.50727081298828
black,woman,8,4544,68.86000061035156,1147.46337890625,-16.278175354003906
black,woman,9,2940,50.63999938964844,1114.6109619140625,3.430908203125
white,woman,0,2182,254.44000244140625,5607.14990234375,20.280029296875
white,woman,1,2670,140.05999755859375,2412.704833984375,13.619987487792969
white,woman,2,1584,115.16000366210938,2324.605712890625,58.372737884521484
white,woman,3,2611,78.05999755859375,1752.607666015625,40.20545196533203
white,woman,4,3764,65.80000305175781,1410.3704833984375,21.576366424560547
white,woman,5,4544,76.04000091552734,1298.40966796875,-8.445449829101562
white,woman,6,2808,72.81999969482422,1191.7496337890625,9.736366271972656
white,woman,7,2940,51.2599983215332,1075.5762939453125,4.107273101806641
white,woman,8,4858,66.4800033569336,1008.4142456054688,-19.381805419921875
white,woman,9,839,53.599998474121094,982.5454711914062,16.709091186523438
east asian,woman,0,2182,253.13999938964844,5257.96728515625,18.861831665039062
east asian,woman,1,2670,120.86000061035156,2057.448486328125,-7.325469970703125
east asian,woman,2,1584,99.73999786376953,2004.7652587890625,41.55091094970703
east asian,woman,3,3764,80.95999908447266,1805.4488525390625,38.11454391479492
east asian,woman,4,4544,87.33999633789062,1462.97412109375,3.8818206787109375
east asian,woman,5,2611,65.12000274658203,1412.099853515625,26.089092254638672
east asian,woman,6,4858,74.9800033569336,1224.99462890625,-10.109077453613281
east asian,woman,7,4511,56.7400016784668,1122.7998046875,12.876365661621094
east asian,woman,8,5046,56.13999938964844,1091.0953369140625,-0.07635879516601562
east asian,woman,9,2940,45.70000076293945,993.914306640625,-1.9581794738769531
middle eastern,woman,0,2182,236.9600067138672,4292.1328125,1.2109375
middle eastern,woman,1,138,118.83999633789062,2221.27783203125,115.05999755859375
middle eastern,woman,2,1584,101.36000061035156,1795.0426025390625,43.31818771362305
middle eastern,woman,3,2611,75.73999786376953,1704.2275390625,37.67454147338867
middle eastern,woman,4,3764,71.37999725341797,1628.1328125,27.663631439208984
middle eastern,woman,5,4858,96.83999633789062,1551.1094970703125,13.738189697265625
middle eastern,woman,6,472,97.4000015258789,1542.0838623046875,77.04181671142578
middle eastern,woman,7,3701,59.599998474121094,1216.759521484375,23.06545639038086
middle eastern,woman,8,2670,77.5999984741211,1127.451171875,-54.51819610595703
middle eastern,woman,9,546,53.619998931884766,1018.8019409179688,35.380001068115234
indian,woman,0,2182,236.17999267578125,4181.9921875,0.360015869140625
indian,woman,1,2670,126.30000305175781,2130.4765625,-1.3909149169921875
indian,woman,2,1584,92.05999755859375,1753.2442626953125,33.1727294921875
indian,woman,3,4858,98.68000030517578,1672.2386474609375,15.745460510253906
indian,woman,4,3764,75.58000183105469,1667.48974609375,32.24545669555664
indian,woman,5,2611,63.47999954223633,1324.4312744140625,24.300003051757812
indian,woman,6,4544,68.5999984741211,1073.893310546875,-16.561813354492188
indian,woman,7,5046,53.220001220703125,1066.9058837890625,-3.261810302734375
indian,woman,8,2940,47.20000076293945,1061.3758544921875,-0.32181549072265625
indian,woman,9,4511,44.439998626708984,841.472412109375,-0.5418167114257812
hispanic,woman,0,2182,233.75999450683594,4101.2216796875,-2.2799835205078125
hispanic,woman,1,2670,128.0399932861328,2251.0966796875,0.5072555541992188
hispanic,woman,2,1584,98.33999633789062,2022.486572265625,40.02363586425781
hispanic,woman,3,3764,78.16000366210938,1738.8455810546875,35.060001373291016
hispanic,woman,4,2611,70.5,1577.3804931640625,31.95818328857422
hispanic,woman,5,4544,79.95999908447266,1390.54443359375,-4.1690826416015625
hispanic,woman,6,1678,75.30000305175781,1170.839111328125,30.790908813476562
hispanic,woman,7,2940,51.880001068115234,1159.457275390625,4.783638000488281
hispanic,woman,8,4858,69.4800033569336,1107.7659912109375,-16.10907745361328
hispanic,woman,9,5046,49.65999984741211,934.5923461914062,-7.145454406738281
